kind,run_id,baseline_run,split,accuracy,baseline_accuracy,accuracy_gap,cross_entropy,baseline_cross_entropy,cross_entropy_gap,field_source
oracle,B0,A0,model_val,0.78812,0.7511466666666666,0.036973333333333414,0.6029203686078389,0.6978804817263285,-0.09496011311848962,oracle
oracle,B0,A0,stack_val,0.7854,0.7495133333333334,0.03588666666666662,0.6089014047145843,0.7027234319114685,-0.09382202719688415,oracle
oracle,B1,A0,model_val,0.7898533333333333,0.7511466666666666,0.03870666666666667,0.5941570992406209,0.6978804817263285,-0.10372338248570767,oracle
oracle,B1,A0,stack_val,0.78856,0.7495133333333334,0.039046666666666674,0.5984350453344981,0.7027234319114685,-0.10428838657697037,oracle
oracle,B2,A0,model_val,0.78812,0.7511466666666666,0.036973333333333414,0.6029203686078389,0.6978804817263285,-0.09496011311848962,oracle
oracle,B2,A0,stack_val,0.7854,0.7495133333333334,0.03588666666666662,0.6089014047145843,0.7027234319114685,-0.09382202719688415,oracle
oracle,B3,A0,model_val,0.7891666666666667,0.7511466666666666,0.038020000000000054,0.6019401328659058,0.6978804817263285,-0.0959403488604228,oracle
oracle,B3,A0,stack_val,0.78698,0.7495133333333334,0.03746666666666665,0.6056692469151814,0.7027234319114685,-0.09705418499628704,oracle
oracle,B4,A0,model_val,0.7898533333333333,0.7511466666666666,0.03870666666666667,0.5941570992406209,0.6978804817263285,-0.10372338248570767,oracle
oracle,B4,A0,stack_val,0.78856,0.7495133333333334,0.039046666666666674,0.5984350453344981,0.7027234319114685,-0.10428838657697037,oracle
