kind,run_id,baseline_run,split,accuracy,baseline_accuracy,accuracy_gap,cross_entropy,baseline_cross_entropy,cross_entropy_gap,field_source
control_vs_A0,F0,A0,model_val,0.7534266666666667,0.7511466666666666,0.0022800000000000598,0.6881875406710307,0.6978804817263285,-0.009692941055297832,random
control_vs_A0,F0,A0,stack_val,0.7508733333333333,0.7495133333333334,0.0013599999999999168,0.6925981782690684,0.7027234319114685,-0.010125253642400023,random
control_vs_A0,F1,A0,model_val,0.7546066666666666,0.7511466666666666,0.0034600000000000186,0.6855022812652588,0.6978804817263285,-0.012378200461069744,cross_jet_shuffle
control_vs_A0,F1,A0,stack_val,0.7512533333333333,0.7495133333333334,0.0017399999999999638,0.6914945434570312,0.7027234319114685,-0.011228888454437258,cross_jet_shuffle
control_vs_A0,F2,A0,model_val,0.78986,0.7511466666666666,0.03871333333333338,0.5949759917179743,0.6978804817263285,-0.10290449000835422,within_jet_shuffle
control_vs_A0,F2,A0,stack_val,0.7878333333333334,0.7495133333333334,0.03832000000000002,0.5995232225783665,0.7027234319114685,-0.10320020933310192,within_jet_shuffle
control_vs_A0,F3,A0,model_val,0.79182,0.7511466666666666,0.04067333333333334,0.5928833058277766,0.6978804817263285,-0.10499717589855195,radius_permuted
control_vs_A0,F3,A0,stack_val,0.7895666666666666,0.7495133333333334,0.040053333333333274,0.5978446557156245,0.7027234319114685,-0.10487877619584396,radius_permuted
control_vs_A0,F4,A0,model_val,0.7530466666666666,0.7511466666666666,0.0019000000000000128,0.6912699918079376,0.6978804817263285,-0.0066104899183909716,learned_no_target
control_vs_A0,F4,A0,stack_val,0.7505733333333333,0.7495133333333334,0.0010599999999999499,0.6955462862491608,0.7027234319114685,-0.007177145662307649,learned_no_target
control_vs_A0,F5,A0,model_val,0.7512266666666667,0.7511466666666666,8.000000000008001e-05,0.6940538494269053,0.6978804817263285,-0.0038266322994232604,zero
control_vs_A0,F5,A0,stack_val,0.7488533333333334,0.7495133333333334,-0.0006599999999999939,0.6994306687323253,0.7027234319114685,-0.0032927631791431766,zero
control_vs_D5,F0,D5,model_val,0.7534266666666667,0.7546,-0.0011733333333333595,0.6881875406710307,0.7002983787759145,-0.012110838104883781,random
control_vs_D5,F0,D5,stack_val,0.7508733333333333,0.7512,-0.0003266666666666973,0.6925981782690684,0.7070108338054021,-0.01441265553633364,random
control_vs_D5,F1,D5,model_val,0.7546066666666666,0.7546,6.666666666599319e-06,0.6855022812652588,0.7002983787759145,-0.014796097510655692,cross_jet_shuffle
control_vs_D5,F1,D5,stack_val,0.7512533333333333,0.7512,5.3333333333349664e-05,0.6914945434570312,0.7070108338054021,-0.015516290348370876,cross_jet_shuffle
control_vs_D5,F2,D5,model_val,0.78986,0.7546,0.03525999999999996,0.5949759917179743,0.7002983787759145,-0.10532238705794017,within_jet_shuffle
control_vs_D5,F2,D5,stack_val,0.7878333333333334,0.7512,0.03663333333333341,0.5995232225783665,0.7070108338054021,-0.10748761122703554,within_jet_shuffle
control_vs_D5,F3,D5,model_val,0.79182,0.7546,0.03721999999999992,0.5928833058277766,0.7002983787759145,-0.1074150729481379,radius_permuted
control_vs_D5,F3,D5,stack_val,0.7895666666666666,0.7512,0.03836666666666666,0.5978446557156245,0.7070108338054021,-0.10916617808977758,radius_permuted
control_vs_D5,F4,D5,model_val,0.7530466666666666,0.7546,-0.0015533333333334065,0.6912699918079376,0.7002983787759145,-0.00902838696797692,learned_no_target
control_vs_D5,F4,D5,stack_val,0.7505733333333333,0.7512,-0.0006266666666666643,0.6955462862491608,0.7070108338054021,-0.011464547556241267,learned_no_target
control_vs_D5,F5,D5,model_val,0.7512266666666667,0.7546,-0.0033733333333333393,0.6940538494269053,0.7002983787759145,-0.006244529349009209,zero
control_vs_D5,F5,D5,stack_val,0.7488533333333334,0.7512,-0.002346666666666608,0.6994306687323253,0.7070108338054021,-0.0075801650730767944,zero
